Title,Author,Score,Ratings,Published
The Tibetan Book of Living and Dying,Sogyal Rinpoche,4.21,28666,1992
A Cook's Tour: Global Adventures in Extreme Cuisines,Anthony Bourdain,4.07,26901,2001
The Magnolia Palace,Fiona  Davis,3.89,60431,2022
Go-To Dinners: A Barefoot Contessa Cookbook,Ina Garten,4.22,1930,2022
"Club Dead (Sookie Stackhouse, #3)",Charlaine Harris,4.02,232552,2003
In the Shelter of Hollythorne House (The Houses of Yorkshire #2),Sarah E. Ladd,4.15,239,2023
Spy School British Invasion (Spy School #7),Stuart Gibbs,4.57,5413,2019
Chronicles: Volume One,Bob Dylan,3.97,55676,2004
"Sleepless City (Nick Ryan, #1)",Reed Farrel Coleman,4.33,358,2023
You&#39;re Not Supposed to Die Tonight,Kalynn  Bayron,3.71,4141,2023
"The Cat in the Hat (The Cat in the Hat, #1)",Dr. Seuss,4.18,520193,1957
"A Shadow Crown (The Halfling Saga, #2)",Melissa Blair,4.16,2447,2023
The Half of It: A Memoir,Madison Beer,4.09,2140,2023
A Very Nice Girl,Imogen Crimp,3.4,5853,2022
The Revels,Stacey  Thomas,3.95,83,2023
Pick Six,Maggie Rawdon,4.13,2293,2023
The Last Cuentista,Donna Barba Higuera,4.11,16128,2021
Christine,Stephen King,3.83,232590,1983
The Plant-Based Baby and Toddler: Your Complete Feeding Guide for the First 3 Years,Alexandra Caspero MA RDN,4.63,109,2021
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,3.95,228853,2013
Tell Me Everything,Minka Kelly,4.34,6649,2023
チェンソーマン 8 [Chainsaw Man 8],Tatsuki Fujimoto,4.42,13517,2020
The Man Who Ate Too Much: The Life of James Beard,John Birdsall,3.33,990,2020
"Pucked (Pucked, #1)",Helena Hunting,3.9,68451,2015
The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,4.12,35249,2011
"Intersect (Parallel, #2)",Elizabeth O\'Roark,4.22,7116,2019
History of the Peloponnesian War,Thucydides,3.92,36957,-411
Artemis,Andy Weir,3.69,251453,2017
"Hidden Systems: Water, Electricity, the Internet, and the Secrets Behind the Systems We Use Every Day",Dan Nott,4.24,217,2023
Wagon Train Baby (Love on the Santa Fe Trail #1),Linda Ford,4.33,3150,2018
The Wim Hof Method: Activate Your Full Human Potential,Wim Hof,3.85,11386,2020
The Diamond Eye,Kate Quinn,4.29,104473,2022
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,Ina Garten,4.09,52261,2006
Yumi y el pintor de pesadillas,Brandon Sanderson,4.59,10518,2023
De uma a outra ilha,Ana Martins Marques,4.3,10,2023
Clue Krewe (Miss Fortune Mysteries #24),Jana Deleon,4.73,4284,2023
Clementine and Danny Save the World,Livia Blackburne,3.76,104,2023
It Will All Work Out: The Freedom of Letting Go,Kevin  Hart,3.82,1370,2023
The Love Theorem,Camilla Isley,3.78,2179,2019
"Home Made: A Story of Grief, Groceries, Showing Up--and What We Make When We Make Dinner",Liz Hauck,4.23,1237,2021
SPQR: A History of Ancient Rome,Mary Beard,4.05,57449,2015
"Pack Rivals: Part One (The Rockview Omegaverse, #1)",Hannah Haze,4.22,2509,2023
"Death Note, Vol. 6: Give-and-Take (Death Note, #6)",Tsugumi Ohba,4.39,26029,2005
"Midlife Witch Hunter (Forty Proof, #6)",Shannon Mayer,4.64,5898,2022
"The Raging Storm (Warriors: A Vision of Shadows, #6)",Erin Hunter,4.36,2914,2018
"Monstress, Vol. 1: Awakening",Marjorie M. Liu,3.96,59465,2016
Picture Day: (A Graphic Novel) (The Brinkley Yearbooks),Sarah Sax,3.85,312,2023
The Giving Tree,Shel Silverstein,4.38,1078912,1964
"Run, Rose, Run",Dolly Parton,3.83,103518,2022
Catch-22,Joseph Heller,3.99,811364,1961
Act of Oblivion,Robert   Harris,4.11,10424,2022
"The Viscount&#39;s Sinful Bargain (The Dukes&#39; Pact, #1)",Kate  Archer,4.19,1886,2020
Notes on an Execution,Danya Kukafka,4.11,62623,2022
Hidden Pictures,Jason Rekulak,4.15,140421,2022
あかね噺 6 [Akane-banashi 6],Yūki Suenaga,4.34,29,2023
Winnie-the-Pooh (Winnie-the-Pooh #1),A.A. Milne,4.35,317039,1926
And Then There&#39;s Margaret: A Laugh Out Loud Contemporary Dramedy (Novel),Carolyn   Clarke,3.73,3542,2022
The Adventures of Huckleberry Finn,Mark Twain,3.83,1244119,1884
Miraculous: Tales of Ladybug &amp; Cat Noir (Manga) 1,Koma Warita,4.21,103,2021
"ブルーピリオド 4 (Blue Period., #4)",Tsubasa Yamaguchi,4.53,2939,2019
The Best of Friends,Lucinda Berry,4.04,67203,2020
"Gigi, Listening",Chantel Guertin,3.59,1538,2023
Unpacking for Greece,Sally Jane Smith,4.68,22,2023
"Return Policy (Crystal Bay University, #1)",Hailey Dickert,4,1256,2023
"The Ex I&#39;d Love to Hate (The Lasker Brothers, #3)",Nadia Lee,4.14,4603,2023
"No God but God: The Origins, Evolution and Future of Islam",Reza Aslan,4.12,26436,2005
City of Stolen Magic,Nazneen Ahmed Pathak,3.92,100,2023
Wedded Wife: a feminist history of marriage,Rachael Lennon,3.89,64,2023
"A Side Character&#39;s Love Story, Vol. 2 (A Side Character&#39;s Love Story, #2)",Akane Tamura,4.3,816,2018
"The Crown of Oaths and Curses (The Mortal Fates, #1)",J.  Bree,4.36,4306,2023
Venus in the Blind Spot,Junji Ito,4.13,9456,2019
"Deadly Night (Ageless Mysteries, #1)",Vanessa  Nelson,4.42,1203,2021
Jane Eyre,Charlotte Brontë,4.14,2005143,1847
Jar of Hearts,Jennifer Hillier,4.12,85467,2018
A Short History of Nearly Everything,Bill Bryson,4.21,371287,2003
"Locke & Key, Vol. 1: Welcome to Lovecraft",Joe Hill,4.15,94678,2008
極主夫道 1 [Gokushufudō 1],Kousuke Oono,4.32,22053,2018
The Measure of Silence,Elizabeth Langston,4.28,316,2023
Camden,Sawyer Bennett,4.42,429,2023
Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,4.24,88485,1970
A Theatre for Dreamers,Polly Samson,3.46,4494,2021
"Dolly Parton, Songteller: My Life in Lyrics",Dolly Parton,4.05,18651,2020
"One Foot in the Grave (Night Huntress, #2)",Jeaniene Frost,4.29,103192,2008
Unnatural Causes: The Life and Many Deaths of Britain&#39;s Top Forensic Pathologist,Richard  Shepherd,4.33,35139,2018
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.16,3064326,2005
A Body at the Farmhouse (West Wales Murder Mysteries #4),P.F. Ford,4.28,690,2023
A Little Life,Hanya Yanagihara,4.34,487553,2015
Quantum Supremacy: How the Quantum Computer Revolution Will Change Everything,Michio Kaku,3.78,481,2023
Something More,Jackie Khalilieh,4.16,440,2023
Camp Damascus,Chuck Tingle,4.21,1311,2023
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.05,759978,2012
"New Moon (The Twilight Saga, #2)",Stephenie Meyer,3.59,1834035,2006
"8 Rules of Love: How to Find It, Keep It, and Let It Go",Jay Shetty,4.01,8426,2023
"The Shining (The Shining, #1)",Stephen King,4.26,1408876,1977
The Lord of the Rings,J.R.R. Tolkien,4.52,651814,1955
No-Nonsense Buddhism for Beginners: Clear Answers to Burning Questions About Core Buddhist Teachings,Noah Rasheta,4.45,4386,2018
Cheer Up: Love and Pompoms,Crystal Frasier,4.26,8503,2021
Punching the Air,Ibi Zoboi,4.43,20030,2020
"Friiight Night (Goosebumps SlappyWorld, #19)",R.L. Stine,3.93,27,2023
Flamer,Mike Curato,4.32,7443,2020
"Lonely Heart (Scarlet Luck, #1)",Mona Kasten,4.29,13413,2022
The Prodigal God: Recovering the Heart of the Christian Faith,Timothy J. Keller,4.4,39276,2008
What Lies Between Us,John Marrs,4.11,58399,2020
Cravings: Recipes for All the Food You Want to Eat,Chrissy Teigen,4.01,30841,2016
The Symposium,Plato,4.08,63458,-380
The Devine Doughnut Shop,Carolyn Brown,4.26,6194,2023
Daisy Jones &amp; The Six,Taylor Jenkins Reid,4.23,1239555,2019
Homo Deus: A History of Tomorrow,Yuval Noah Harari,4.21,234006,2015
チェンソーマン 4 [Chainsaw Man 4],Tatsuki Fujimoto,4.4,17767,2019
A Castle in Brooklyn,Shirley Russak Wachtel,3.81,8288,2023
"Wanted (Legacy of Magic, #7)",Lindsay Buroker,4.6,1359,2023
"How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness, Dying, Addiction, Depression, and Transcendence",Michael Pollan,4.26,70412,2018
"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews,3.84,202320,1979
Pirates Don&#39;t Go to Kindergarten!,Lisa     Robinson,4.16,1331,2019
"The Gate of the Feral Gods (Dungeon Crawler Carl, #4)",Matt Dinniman,4.62,7903,2021
Chomsky and Me: A Memoir,Bev Boisseau Stohl,4.83,24,2023
'Salem's Lot,Stephen King,4.05,426255,1975
The Couple Next Door,Shari Lapena,3.81,531911,2016
Innocent or Guilty,Kathi Daley,4.59,352,2023
"The Ex Effect (Washington Wolves, #2)",Karla Sorensen,4.1,8974,2018
"Still Me (Me Before You, #3)",Jojo Moyes,4.12,194205,2018
The Riviera House,Natasha Lester,4.32,9641,2021
"Moon Called (Mercy Thompson, #1)",Patricia Briggs,4.15,201246,2006
The Air Raid Book Club,Annie Lyons,4.17,815,2023
None of This Is True,Lisa Jewell,4.42,5264,2023
A Tale of Two Cities,Charles Dickens,3.87,919966,1859
10 Minutes 38 Seconds in This Strange World,Elif Shafak,4.09,54929,2019
Falling Up,Shel Silverstein,4.35,146720,1996
Eeriella: Super-Fiend!,Sophie Ingley,4.85,20,2023
The Troop,Nick Cutter,3.84,67069,2014
"Him (Him, #1)",Sarina Bowen,4.26,59055,2015
At Home: A Short History of Private Life,Bill Bryson,3.98,91728,2010
Invisible Son,Kim  Johnson,4.34,250,2023
"Rocked Bayou (Badges of the Bayou, #3)",Erin Nicholas,4.52,819,2023
Dinners with Ruth: A Memoir on the Power of Friendships,Nina Totenberg,4.18,11168,2022
Tulppaanitoiveunia,Laura Suomela,3.22,41,2023
Jonas (Minnesota Marshalls #2),Susan May Warren,4.64,502,2023
Una vida sin salud mental,Alba González,3.55,3562,2022
Big Tree,Brian Selznick,4.1,1561,2023
Flying Angels,Danielle Steel,4.16,12995,2021
"¡Ay, Mija!: My Bilingual Summer in Mexico",Christine Suggs,4.17,514,2023
"Crimson Kingdom (The Lochlann Feuds, #3)",Robin D. Mahle,4.39,2383,2021
"Dune Messiah (Dune, #2)",Frank Herbert,3.89,247423,1969
Fair Game (Vegas Aces #3),Lisa Suzanne,4.01,4057,2021
"The Kind Worth Killing (Henry Kimball/Lily Kintner, #1)",Peter  Swanson,4.02,159726,2015
Into the Wild,Jon Krakauer,4.01,1046994,1996
The Other Pandemic: How QAnon Contaminated the World,James Ball,3.62,16,2023
Where Are Your Boys Tonight?: The Oral History of Emo&#39;s Mainstream Explosion 1999-2008,Chris Payne,4.52,535,2023
"House of Roots and Ruin (Sisters of the Salt, #2)",Erin A. Craig,4.38,1018,2023
"Wayside School Beneath the Cloud of Doom (Wayside School, #4)",Louis Sachar,4.2,3213,2020
"Dark of Night (Annie Pederson, #2)",Colleen Coble,4.26,1973,2023
"Spy×Family, Vol. 1 (Spy×Family, #1)",Tatsuya Endo,4.5,102429,2019
A Very Punchable Face,Colin Jost,4.21,46245,2020
Warrior Girl Unearthed,Angeline Boulley,4.41,6674,2023
A History of My Brief Body,Billy-Ray Belcourt,4.21,4016,2020
Portals,Douglas E. Richards,4.17,5529,2022
The Flag and the Cross: White Christian Nationalism and the Threat to American Democracy,Philip S. Gorski,4.23,754,2022
House of Hollow,Krystal Sutherland,4.05,63255,2021
The Travel Book: A Journey Through Every Country in the World,Roz Hopkins,4.29,6625,2004
The Miracle of Mindfulness: An Introduction to the Practice of Meditation,Thich Nhat Hanh,4.19,33114,1975
A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,4.14,192952,2005
The Corfe Castle Murders (Dorset Crime #1),Rachel McLean,4.16,11142,2021
A Promised Land,Barack Obama,4.34,207359,2020
The Year of Magical Thinking,Joan Didion,3.93,220298,2005
The Old Patagonian Express: By Train Through the Americas,Paul Theroux,3.95,10236,1979
The Soul of a Woman,Isabel Allende,4.04,22879,2020
"Real (Real, #1)",Katy Evans,4.13,110941,2013
ふらいんぐうぃっち 12 [Flying Witch 12],Chihiro Ishizuka,4,6,2023
Night Candy (Colleen Hayes #5),Max  Tomlinson,4.27,51,2023
She Says She&#39;s My Daughter,Lauren North,4.37,214,2023
Fabbricante di lacrime,Erin Doom,3.71,26208,2020
The Fault in Our Stars,John Green,4.15,4853123,2012
Shuggie Bain,Douglas   Stuart,4.32,134476,2020
I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,Michelle McNamara,4.12,223809,2018
Round Ireland with a Fridge,Tony Hawks,3.81,19055,1997
Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone,Brené Brown,4.13,102038,2017
The War Came to Us: Life and Death in Ukraine,Christopher       Miller,2.75,92,2023
"Elle(s), Vol. 2: The Elle-Verse",Kid Toussaint,3.87,1704,2022
Where Echoes Die,Courtney Gould,3.71,731,2023
Mark of the Fool 4 (Mark of the Fool #4),J.M. Clarke,4.67,725,2023
Consecuencias de decir te quiero,Manu Erena,3.73,4226,2020
"The Wicked + The Divine, Vol. 1: The Faust Act",Kieron Gillen,3.82,58221,2014
All the Yellow Suns,Malavika Kannan,4.1,51,2023
A Taste for Poison: Eleven Deadly Molecules and the Killers Who Used Them,Neil Bradbury,4.13,5400,2022
The Good Ones,Polly Stewart,3.35,549,2023
Bad Mormon: A Memoir,Heather Gay,3.47,7246,2023
"A Death in the Parish (Canon Clement, #2)",Richard  Coles,4.13,661,2023
"The League of Extraordinary Gentlemen, Vol. 1",Alan Moore,3.94,53523,2000
"The Mistress of Bhatia House (Perveen Mistry, #4)",Sujata Massey,4.17,901,2023
Ride or Die,Gail-Agnes Musikavanhu,3.52,210,2023
The Lies I Tell,Julie   Clark,4.11,61465,2022
Billionaire&#39;s Daughter and the Quarterback,Lea  Vaughn,4.43,148,2023
Meet Me in Paradise,Libby Hubscher,3.91,14433,2021
Salt: A World History,Mark Kurlansky,3.75,69147,2002
"Life, the Universe and Everything (The Hitchhiker's Guide to the Galaxy, #3)",Douglas Adams,4.18,225994,1982
"Persepolis: The Story of a Childhood (Persepolis, #1)",Marjane Satrapi,4.26,199320,2003
The Invisible Life of Addie LaRue,V.E. Schwab,4.2,899304,2020
I&#39;m Not Here to Make Friends,Andrew  Yang,3.71,41,2023
"Soul of Light and Shadow (Lords of the Underworld, #1)",Maggie  White,3.83,48,2023
Eerie Tales from the School of Screams,Graham  Annable,4.35,65,2022
シャドーハウス 14 [Shadow House 14],Somato,4.11,9,2023
Under the Tuscan Sun: At Home in Italy,Frances Mayes,3.77,324850,1996
"Tachyon - Die Waffe (Tachyon, #1)",Brandon Q. Morris,3.7,10,2023
The Boy Who Would Be King: A Fable About Marcus Aurelius,Ryan Holiday,4.42,1121,2021
Ugly Love,Colleen Hoover,4.1,1495982,2014
The Club,Ellery Lloyd,3.32,76926,2022
"Cat Kid Comic Club: Collaborations (Cat Kid Comic Club, #4)",Dav Pilkey,4.56,1500,2022
"Long Shadows (Amos Decker, #7)",David Baldacci,4.45,37124,2022
I Want to Be Spaghetti!,Kiera Wright-Ruiz,4.47,62,2023
少年のアビス 13 [Shōnen no Abyss 13],Ryō Minenami,3.67,12,2023
Recipes from the World of Tolkien: Inspired By the Legends,Robert Tuesley Anderson,4.39,315,2020
Be Your Future Self Now: The Science of Intentional Transformation,Benjamin P. Hardy,4.36,1113,2022
The Seat of the Soul,Gary Zukav,4.02,45737,1989
Cómo hacer que te pasen cosas buenas,Marian Rojas Estapé,4.13,7853,2018
"Imagine Me (Shatter Me, #6)",Tahereh Mafi,3.99,133086,2020
"Court (Crave, #4)",Tracy Wolff,4.21,40071,2022
"Limitless: Upgrade Your Brain, Learn Anything Faster, and Unlock Your Exceptional Life",Jim Kwik,4.09,15784,2020
King of Storms and Feathers,Juno Heart,3.69,322,2023
Cook This Book: Techniques That Teach and Recipes To Repeat,Molly Baz,4.16,2030,2021
Everyone Here Is Lying,Shari Lapena,4.01,6868,2023
The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,Ree Drummond,4.06,45891,2008
Rowley Jefferson’s Awesome Friendly Spooky Stories (Awesome Friendly Kid Book 3),Jeff Kinney,4.24,4138,2021
"The Funtime Show (Ellie Jordan, Ghost Trapper #19)",J.L. Bryan,4.72,114,2023
Predictably Irrational: The Hidden Forces That Shape Our Decisions,Dan Ariely,4.12,120647,2008
Interpreting Fate (Outer Limits Quadrant #3),Alexis B. Osborne,4.24,169,2023
In the Shadow of the Bull (An Ancient Crete Mystery #1),Eleanor Kuhns,3.65,20,2023
"The Secret (The Secret, #1)",Rhonda Byrne,3.73,453594,2006
"The Primal Hunter 5 (The Primal Hunter, #5)",Zogarth,4.61,3696,2023
"Better than the Movies (Better than the Movies, #1)",Lynn Painter,4.3,204745,2021
"Haru, Zombie Dog Hero",Ellen Oh,3.84,37,2023
僕のヒーローアカデミア チームアップミッション 5 [Boku no Hero Academia: Team Up Mission 5],Yoko Akiyama,5,1,2023
Girl With No Job: The Crazy Beautiful Life of an Instagram Thirst Monster,Claudia Oshry,3.92,15561,2021
Halfway to You,Jennifer  Gold,4.32,6237,2023
"Unstoppable Us, Volume 1: How Humans Took Over the World",Yuval Noah Harari,4.21,1344,2022
"Flesh and Blood (DS Aector McAvoy, #11)",David  Mark,3.88,74,2023
"How It Unfolds (The Far Reaches, #1)",James S.A. Corey,4.06,3010,2023
Pineapple Street,Jenny   Jackson,3.65,69225,2023
Bewilderment,Richard Powers,3.93,53036,2021
We Are Okay,Nina LaCour,3.95,84906,2017
Only the Dead (Terminal List #6),Jack Carr,4.61,7101,2023
The Plant-Based Athlete: A Game-Changing Approach to Peak Performance,Matt Frazier,3.9,1205,2021
Authentically Izzy (Skymar #1),Pepper D. Basham,3.89,2271,2022
Called (The Grey Gates #2),Vanessa  Nelson,4.48,1006,2023
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.1,109750,2002
Elite Capture: How the Powerful Took Over Identity Politics,Olúfẹ́mi O. Táíwò,4.05,1560,2022
A Farewell to Arms,Ernest Hemingway,3.81,309484,1929
Everything Is OK,Debbie Tung,4.32,3962,2022
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,4.22,170179,2002
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,3.8,77180,2019
"Rat Queens, Vol. 1: Sass & Sorcery",Kurtis J. Wiebe,4.08,44272,2014
Last Resort (Joe Dillard #10),Scott Pratt,4.63,4840,2023
The Perfect Girlfriend,Hayley   Smith,3.87,396,2023
Malibu Rising,Taylor Jenkins Reid,4.06,870489,2021
I Want to Die But I Want to Eat Tteokpokki,Baek Se-hee,3.43,29295,2018
Pure Colour,Sheila Heti,3.5,11218,2022
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.11,631010,2007
"Freezing Order: A True Story of Money Laundering, Murder, and Surviving Vladimir Putin&#39;s Wrath",Bill Browder,4.33,18782,2022
I Did It for You,Amy Engel,3.77,222,2023
"Dead in the Water: A True Story of Hijacking, Murder, and a Global Maritime Conspiracy",Matthew  Campbell,4.25,3068,2022
ゆびさきと恋々 3 [Yubisaki to Renren 3],Suu Morishita,4.51,3906,2020
Sweet Regret,K. Bromberg,3.93,6153,2023
Famous for a Living,Melissa    Ferguson,3.55,3402,2023
"The Forever War (The Forever War, #1)",Joe Haldeman,4.14,161327,1974
Big Lies in a Small Town,Diane Chamberlain,4.13,85757,2020
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.64,1232264,2016
The High Notes,Danielle Steel,4.3,7703,2022
The Art Spirit,Robert Henri,3.93,22192,1929
And Then There Were None,Agatha Christie,4.28,1247538,1939
"Essex Dogs (Essex Dogs, #1)",Dan Jones,3.99,3116,2022
How to Stay Sane in an Age of Division,Elif Shafak,4.05,5640,2020
"A Kiss for a Kiss (All In, #4)",Helena Hunting,4.01,10244,2021
The Fight for Midnight,Dan Solomon,4.5,80,2023
Who Moved My Cheese?,Spencer Johnson,3.86,453734,1999
The Next Person You Meet in Heaven,Mitch Albom,4.31,47965,2018
"Hunted (Dark in You, #9)",Suzanne Wright,4.39,1887,2023
"Oh, the Places You'll Go!",Dr. Seuss,4.36,391333,1990
Silent Sisters,Joanne Lee,4.18,3969,2019
The Memory Box,Kathryn Hughes,4.5,10881,2021
The Coach Trip,Izzy Bromley,4.18,2149,2023
La Petite Dernière,Fatima Daas,3.87,3486,2020
The Roommate Pact,Allison Ashley,3.95,811,2023
The Letters of Vincent van Gogh,Vincent van Gogh,4.08,94297,1914
A Light in the Attic,Shel Silverstein,4.35,431850,1981
Zero In (Nameless: Season Two #6),Dean Koontz,4.47,9305,2021
"The Happy Ever After Playlist (The Friend Zone, #2)",Abby Jimenez,4.17,96886,2020
"The Game Plan (X’s and O’s, #1)",Allie Lasky,3.48,431,2022
The Grand Design,Stephen Hawking,4.06,72316,2010
Cobalt Red: How the Blood of the Congo Powers Our Lives,Siddharth Kara,4.4,2426,2023
"呪術廻戦 18 (Jujutsu Kaisen, #18)",Gege Akutami,4.37,5065,2021
"The Trial and Death of Socrates (Euthyphro, Apology, Crito, Phaedo)",Plato,4.12,39796,-400
"Yes, I&#39;m Hot in This: The Hilarious Truth about Life in a Hijab",Huda Fahmy,4.36,2484,2018
The Marriage Portrait,Maggie O\'Farrell,4.04,90118,2022
H is for Hawk,Helen Macdonald,3.74,71488,2014
"Saga, Volume 5",Brian K. Vaughan,4.41,66689,2015
"The Snowman (Harry Hole, #7)",Jo Nesbø,4.02,133039,2007
"A Crown of Ivy and Glass (The Middlemist Trilogy, #1)",Claire Legrand,3.15,1240,2023
How to Resist Amazon and Why,Danny Caine,4.31,908,2019
One August Night,Victoria Hislop,3.75,10617,2020
Me,Elton John,4.33,59081,2019
little scratch,Rebecca    Watson,3.77,2544,2021
Glow: The Wild Wonders of Bioluminescence,Jennifer N.R. Smith,4.26,23,2023
History of Beauty,Umberto Eco,3.83,60063,2004
What Alice Forgot,Liane Moriarty,4.08,449271,2009
The Last Dance,Mark Billingham,4.24,1169,2023
"After Death (Blue Bloods, #9)",Melissa de la Cruz,3.72,39,2023
From Lukov with Love,Mariana Zapata,4.27,214385,2018
"Red, White, and Whole",Rajani LaRocca,4.44,6069,2021
"A Sign of Affection, Vol. 2",Suu Morishita,4.5,5053,2020
Made for Us (Made For #3),Natasha Madison,4.22,2915,2023
Purple Cow: Transform Your Business by Being Remarkable,Seth Godin,3.78,51703,2003
"Skarb (Rodzina Monet, #1)",Weronika Anna Marczak,3.89,22838,2022
Woman on Fire,Lisa Barr,4.02,24323,2022
ゆびさきと恋々 5 [Yubisaki to Renren 5],Suu Morishita,4.42,2473,2021
If I Were You,Lynn Austin,4.16,10617,2020
The Night Shift,Alex Finlay,3.93,52089,2022
Saved: A War Reporter&#39;s Mission to Make It Home,Benjamin Hall,4.65,2445,2023
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,3.85,551043,1996
The Snowcat Prince,Dina Norlund,4.23,531,2021
Will Pucking Ledger (Fourteeners #1),Remi Fox,3.58,175,2023
Lot 62 (From Nothing #2),Nordika Night,4.38,1448,2023
"Salvage (The Delphic Dame, #1)",Jenny Schwartz,4.52,354,2023
"The Risk (Briar U, #2)",Elle Kennedy,4.26,116428,2019
"The Little Café in Copenhagen (Romantic Escapes, #1)",Julie Caplin,3.99,10084,2018
Run on Red,Noelle W. Ihli,3.73,28369,2022
The Weaver and the Witch Queen,Genevieve Gornichec,4.25,359,2023
Saint Juniper&#39;s Folly,Alex Crespo,3.91,417,2023
Code Name Bananas,David Walliams,3.98,3179,2020
"Junkyard War (Junkyard Cats, #3)",Faith Hunter,4.36,903,2022
Beyond Good and Evil,Friedrich Nietzsche,4.02,89268,1886
Great Circle,Maggie Shipstead,4.12,59518,2021
"Insurgent (Divergent, #2)",Veronica Roth,3.98,1436215,2012
A Castaway in Cornwall,Julie Klassen,3.97,4924,2020
The Waiting,Keum Suk Gendry-Kim,4.42,2264,2020
Rebecca,Daphne du Maurier,4.24,593716,1938
The Last Thing He Told Me,Laura Dave,3.85,813052,2021
"I, Robot (Robot, #0.1)",Isaac Asimov,4.21,333065,1950
The Social Contract,Jean-Jacques Rousseau,3.78,47092,1762
The Happiest Man on Earth,Eddie Jaku,4.64,57066,2020
I Do Everything I&#39;m Told,Megan Fernandes,4.35,134,2023
"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,4.16,145027,1985
"薬屋のひとりごと 11 [Kusuriya no Hitorigoto 11] (The Apothecary Diaries [Nekokurage], #11)",Nekokurage,4.63,404,2023
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,4.56,163154,2019
Twas the Nightshift Before Christmas,Adam Kay,4.13,58999,2019
The Pilgrim's Progress,John Bunyan,4.04,131802,1678
"Fractal Noise (Fractalverse, #0.5)",Christopher Paolini,3.48,3864,2023
"Five Little Pigs (Hercule Poirot, #25)",Agatha Christie,4.03,67866,1942
Lords of Chaos: The Bloody Rise of the Satanic Metal Underground,Michael Moynihan,3.69,7899,1998
Meant to Be,Emily Giffin,3.93,69391,2022
Ghost World,Daniel Clowes,3.82,73902,1998
French Braid,Anne Tyler,3.66,43546,2022
"Tribulation Force (Left Behind, #2)",Tim LaHaye,3.96,41691,1996
Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman,4.24,59438,2021
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.07,415508,2012
"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,4,372598,1983
Crossing the Chasm: Marketing and Selling High-Tech Products to Mainstream Customers,Geoffrey A. Moore,4.01,28015,2006
Death Message (DI Nick Dixon #13),Damien Boyd,4.67,2508,2023
"The Raven Boys (The Raven Cycle, #1)",Maggie Stiefvater,4.05,350941,2012
"This Present Darkness (Darkness, #1)",Frank E. Peretti,4.23,104641,1986
Emergency,Kathleen Alcott,4.21,38,2023
"薬屋のひとりごと 2 (Kusuriya no hitorigoto, #2)",Nekokurage,4.45,3953,2018
Business or Pleasure,Rachel Lynn Solomon,3.97,6047,2023
After: A Doctor Explores What Near-Death Experiences Reveal about Life and Beyond,Bruce  Greyson,4.18,2647,2021
The Final Equinox (Theo Cray &amp; Jessica Blackwood #2),Andrew Mayne,4.16,4337,2022
"Midlife Ghost Hunter (Forty Proof, #4)",Shannon Mayer,4.58,8104,2020
"Working Backwards: Insights, Stories, and Secrets from Inside Amazon",Colin Bryar,4.23,4824,2021
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.16,202319,2013
"Bittersweet Melody (The Bittersweet Symphony Duet, #2.5)",Kate  Stewart,4.49,3428,2023
Mostly Plants: 101 Delicious Flexitarian Recipes from the Pollan Family,Tracy Pollan,3.62,1210,2019
Kismat Connection,Ananya Devarajan,3.59,608,2023
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4,794159,2000
Balada para Sophie,Filipe Melo,4.69,4997,2020
"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,4.09,248009,1986
The People We Keep,Allison Larkin,4.14,71417,2021
You&#39;ll Come Back to Yourself,Michaela Angemeer,3.88,5943,2019
"Career of Evil (Cormoran Strike, #3)",Robert Galbraith,4.21,198485,2015
Next Year in Havana,Chanel Cleeton,3.93,125683,2018
Infested,Angel Luis Colón,4.02,55,2023
